# Joint_A_Angle(deg), Cam_X(mm), Cam_Y(mm), Cam_Z(mm), Torso_X(mm), Torso_Y(mm), Torso_Z(mm), EE_X(mm), EE_Y(mm), EE_Z(mm)
12.6371, 6.1969, -14.1113, 166.0628, 235.0628, 2.8031, 271.1848, -18.9583, -55.9990, -71.0763
12.7307, 6.1123, -14.0083, 166.0177, 235.0177, 2.8877, 271.0817, -18.9356, -56.0445, -71.0804
12.8257, 5.9968, -13.9216, 165.8301, 234.8301, 3.0032, 270.9951, -18.9516, -56.2297, -71.1076
12.9155, 5.9467, -13.8432, 165.9535, 234.9535, 3.0533, 270.9167, -18.9147, -56.1036, -71.1122
13.0028, 5.8447, -13.7375, 165.8290, 234.8290, 3.1553, 270.8110, -18.8980, -56.2323, -71.1221
13.0957, 5.7658, -13.6310, 165.7548, 234.7548, 3.2342, 270.7045, -18.8847, -56.3058, -71.1173
13.1930, 5.7273, -13.5764, 165.8580, 234.8580, 3.2727, 270.6498, -18.8857, -56.1893, -71.1254
13.2726, 5.6320, -13.4435, 165.8259, 234.8259, 3.3680, 270.5170, -18.8173, -56.2375, -71.1210
13.3512, 5.5520, -13.3729, 165.7409, 234.7409, 3.4480, 270.4464, -18.8209, -56.3207, -71.1374
13.4301, 5.5450, -13.3065, 165.8018, 234.8018, 3.4550, 270.3799, -18.8245, -56.2467, -71.1096
13.5154, 5.4427, -13.1862, 165.7335, 234.7335, 3.5573, 270.2597, -18.7790, -56.3270, -71.1156
13.6074, 5.3524, -13.1025, 165.6513, 234.6513, 3.6476, 270.1759, -18.7798, -56.4077, -71.1327
13.6927, 5.2813, -12.9999, 165.6048, 234.6048, 3.7187, 270.0733, -18.7591, -56.4566, -71.1261
