# Joint_A_Angle(deg), Cam_X(mm), Cam_Y(mm), Cam_Z(mm), Torso_X(mm), Torso_Y(mm), Torso_Z(mm), EE_X(mm), EE_Y(mm), EE_Z(mm)
10.8888, 6.8639, -20.1764, 167.8498, 236.8498, 2.1361, 277.2498, 11.2624, 59.4468, -70.1722
11.0573, 6.7237, -20.3683, 167.9299, 236.9299, 2.2763, 277.4417, 11.1925, 59.4143, -70.1838
11.2298, 6.6007, -20.5332, 168.0586, 237.0586, 2.3993, 277.6067, 11.1518, 59.3322, -70.1958
11.3807, 6.4724, -20.7233, 168.1785, 237.1785, 2.5276, 277.7967, 11.0676, 59.2598, -70.2206
11.5567, 6.3913, -20.8461, 168.2330, 237.2330, 2.6087, 277.9195, 11.0977, 59.2449, -70.2286
11.7255, 6.2459, -21.0075, 168.4062, 237.4062, 2.7541, 278.0810, 11.0345, 59.1192, -70.2256
11.8817, 6.1421, -21.1837, 168.5471, 237.5471, 2.8579, 278.2572, 10.9781, 59.0266, -70.2615
12.0217, 6.0024, -21.3544, 168.6394, 237.6394, 2.9976, 278.4278, 10.8914, 58.9805, -70.2636
12.1726, 5.9113, -21.4894, 168.8041, 237.8041, 3.0887, 278.5628, 10.8644, 58.8585, -70.2851
12.3258, 5.8238, -21.6057, 168.8772, 237.8772, 3.1762, 278.6792, 10.8675, 58.8245, -70.2882
12.4879, 5.7131, -21.7522, 168.9197, 237.9197, 3.2869, 278.8256, 10.8463, 58.8276, -70.2895
12.6690, 5.6048, -21.8951, 169.1122, 238.1121, 3.3952, 278.9686, 10.8274, 58.6850, -70.3034
12.8674, 5.4884, -22.0570, 169.2156, 238.2156, 3.5116, 279.1304, 10.8188, 58.6363, -70.3133
13.0278, 5.3301, -22.2639, 169.3280, 238.3280, 3.6699, 279.3374, 10.7089, 58.5840, -70.3253
13.1939, 5.2271, -22.3921, 169.4790, 238.4790, 3.7729, 279.4655, 10.6932, 58.4800, -70.3310
13.3539, 5.0962, -22.5582, 169.6082, 238.6082, 3.9038, 279.6316, 10.6275, 58.4050, -70.3389
