# Joint_B_Angle(deg), Cam_X(mm), Cam_Y(mm), Cam_Z(mm), Torso_X(mm), Torso_Y(mm), Torso_Z(mm), EE_X(mm), EE_Y(mm), EE_Z(mm)
1.0819, 15.6574, -25.7780, 173.0100, 242.0100, -6.6574, 282.8515, -21.5909, -51.1125, -70.8493
1.1536, 15.6138, -25.7496, 172.9646, 241.9646, -6.6138, 282.8230, -21.6104, -51.1366, -70.8633
1.2239, 15.5404, -25.6960, 172.9277, 241.9277, -6.5404, 282.7695, -21.5904, -51.1571, -70.8868
1.2858, 15.4796, -25.6300, 172.9408, 241.9408, -6.4796, 282.7035, -21.5556, -51.1300, -70.8970
1.3663, 15.4049, -25.5523, 173.0019, 242.0019, -6.4049, 282.6257, -21.5150, -51.0506, -70.9153
1.4348, 15.3236, -25.4674, 173.0268, 242.0268, -6.3236, 282.5408, -21.4577, -51.0128, -70.9315
1.4990, 15.2568, -25.4130, 172.9843, 241.9843, -6.2568, 282.4865, -21.4360, -51.0410, -70.9487
1.5653, 15.1920, -25.3475, 172.9534, 241.9534, -6.1920, 282.4209, -21.4075, -51.0570, -70.9588
1.6330, 15.1303, -25.2933, 172.9931, 241.9931, -6.1303, 282.3667, -21.3840, -51.0019, -70.9789
1.7033, 15.0626, -25.2185, 173.0415, 242.0416, -6.0626, 282.2920, -21.3418, -50.9387, -70.9923
1.7618, 14.9946, -25.1631, 173.0237, 242.0237, -5.9946, 282.2365, -21.3111, -50.9453, -71.0120
1.8325, 14.9236, -25.1269, 172.9443, 241.9443, -5.9236, 282.2003, -21.3115, -51.0080, -71.0404
1.9068, 14.8723, -25.0629, 172.9591, 241.9591, -5.8723, 282.1363, -21.2945, -50.9747, -71.0443
1.9753, 14.7879, -24.9645, 173.0323, 242.0323, -5.7879, 282.0379, -21.2192, -50.8912, -71.0590
2.0452, 14.7193, -24.9137, 173.0244, 242.0244, -5.7193, 281.9872, -21.2010, -50.8841, -71.0828
2.1063, 14.6514, -24.8658, 172.9894, 241.9894, -5.6514, 281.9393, -21.1808, -50.9070, -71.1054
2.1731, 14.5901, -24.8224, 172.9709, 241.9709, -5.5901, 281.8959, -21.1713, -50.9105, -71.1268
2.2342, 14.5511, -24.7578, 173.0038, 242.0038, -5.5511, 281.8313, -21.1472, -50.8631, -71.1221
2.2961, 14.4908, -24.6988, 173.0442, 242.0442, -5.4908, 281.7722, -21.1149, -50.8107, -71.1383
2.3643, 14.4231, -24.6507, 173.0308, 242.0308, -5.4231, 281.7242, -21.0985, -50.8100, -71.1625
2.4236, 14.3684, -24.5981, 173.0040, 242.0040, -5.3684, 281.6716, -21.0799, -50.8243, -71.1725
2.4970, 14.3088, -24.5623, 172.9517, 241.9517, -5.3088, 281.6358, -21.0874, -50.8588, -71.1943
2.5603, 14.2322, -24.4383, 173.0452, 242.0452, -5.2322, 281.5118, -20.9884, -50.7589, -71.1891
2.6328, 14.1483, -24.3873, 173.0525, 242.0525, -5.1483, 281.4608, -20.9616, -50.7390, -71.2262
2.6903, 14.0956, -24.3433, 173.0056, 242.0056, -5.0956, 281.4167, -20.9520, -50.7737, -71.2380
2.7549, 14.0498, -24.3163, 172.9834, 241.9833, -5.0498, 281.3897, -20.9634, -50.7797, -71.2565
2.8165, 13.9981, -24.2718, 172.9602, 241.9602, -4.9981, 281.3453, -20.9549, -50.7894, -71.2693
2.8894, 13.9266, -24.1988, 172.9619, 241.9620, -4.9266, 281.2723, -20.9189, -50.7746, -71.2829
2.9632, 13.8450, -24.1115, 173.0517, 242.0517, -4.8450, 281.1849, -20.8554, -50.6748, -71.3034
3.0379, 13.7796, -24.0503, 173.0255, 242.0255, -4.7796, 281.1237, -20.8374, -50.6859, -71.3168
3.1236, 13.7138, -23.9870, 173.0108, 242.0108, -4.7138, 281.0604, -20.8259, -50.6819, -71.3302
3.2032, 13.6142, -23.9005, 173.0682, 242.0682, -4.6142, 280.9740, -20.7613, -50.6152, -71.3629
3.2849, 13.5240, -23.8197, 173.0294, 242.0294, -4.5240, 280.8931, -20.7210, -50.6413, -71.3833
3.3434, 13.4654, -23.7791, 173.0362, 242.0362, -4.4654, 280.8525, -20.7050, -50.6242, -71.4064
3.4150, 13.3888, -23.7170, 173.0547, 242.0547, -4.3888, 280.7905, -20.6713, -50.5947, -71.4321
3.4840, 13.2808, -23.6630, 172.9897, 241.9897, -4.2808, 280.7365, -20.6346, -50.6529, -71.4804
3.5561, 13.2525, -23.5989, 173.0266, 242.0265, -4.2525, 280.6724, -20.6255, -50.5984, -71.4679
