# Joint_B_Angle(deg), Cam_X(mm), Cam_Y(mm), Cam_Z(mm), Torso_X(mm), Torso_Y(mm), Torso_Z(mm), EE_X(mm), EE_Y(mm), EE_Z(mm)
-8.4766, 22.0625, -0.4351, 161.8827, 230.8827, -13.0625, 257.5086, 14.3314, 67.8478, -69.3111
-8.2986, 21.8835, -0.6393, 161.9750, 230.9750, -12.8835, 257.7128, 14.2977, 67.6528, -69.3162
-8.1185, 21.7588, -0.8045, 161.8681, 230.8681, -12.7588, 257.8780, 14.2853, 67.6675, -69.3213
-7.9273, 21.6120, -1.0040, 161.7351, 230.7351, -12.6120, 258.0774, 14.2410, 67.6972, -69.3299
-7.7445, 21.4414, -1.1748, 161.9056, 230.9056, -12.4414, 258.2483, 14.2582, 67.4328, -69.3258
-7.5393, 21.3326, -1.3137, 161.7188, 230.7188, -12.3326, 258.3872, 14.2883, 67.5274, -69.3193
-7.3582, 21.1375, -1.5505, 161.7020, 230.7020, -12.1375, 258.6240, 14.1978, 67.4358, -69.3250
-7.1653, 20.9857, -1.7607, 161.6132, 230.6132, -11.9857, 258.8341, 14.1536, 67.4238, -69.3402
-6.9636, 20.8340, -1.9432, 161.7413, 230.7413, -11.8340, 259.0166, 14.1837, 67.2015, -69.3547
-6.7764, 20.6754, -2.1670, 161.6403, 230.6403, -11.6754, 259.2404, 14.1154, 67.2022, -69.3728
-6.5966, 20.5291, -2.3328, 161.6079, 230.6079, -11.5291, 259.4062, 14.1029, 67.1464, -69.3678
-6.4121, 20.3588, -2.5443, 161.6674, 230.6674, -11.3588, 259.6178, 14.0638, 66.9918, -69.3817
-6.2231, 20.2353, -2.6877, 161.5767, 230.5767, -11.2353, 259.7612, 14.0818, 66.9986, -69.3747
-6.0236, 20.1004, -2.8650, 161.5596, 230.5596, -11.1004, 259.9384, 14.0931, 66.9264, -69.3869
-5.8333, 19.9108, -3.0809, 161.5033, 230.5033, -10.9108, 260.1544, 14.0226, 66.8826, -69.3801
-5.6514, 19.7394, -3.2821, 161.5133, 230.5133, -10.7394, 260.3555, 13.9765, 66.7815, -69.3824
-5.4562, 19.6358, -3.3990, 161.5797, 230.5797, -10.6358, 260.4725, 14.0615, 66.6411, -69.3857
-5.2690, 19.4757, -3.6156, 161.4474, 230.4474, -10.4757, 260.6890, 13.9918, 66.6808, -69.3954
-5.0919, 19.2547, -3.8641, 161.4161, 230.4161, -10.2547, 260.9375, 13.8651, 66.6122, -69.3879
-4.8955, 19.1367, -3.9853, 161.5275, 230.5275, -10.1367, 261.0588, 13.9450, 66.4264, -69.3866
-4.6938, 19.0175, -4.1357, 161.4847, 230.4847, -10.0175, 261.2091, 13.9827, 66.3889, -69.3912
-4.5066, 18.8197, -4.3909, 161.3016, 230.3016, -9.8197, 261.4643, 13.8523, 66.4739, -69.3936
-4.3207, 18.6484, -4.5831, 161.3860, 230.3860, -9.6484, 261.6565, 13.8265, 66.3057, -69.3962
-4.1462, 18.5239, -4.7198, 161.3977, 230.3977, -9.5239, 261.7932, 13.8474, 66.2236, -69.3921
-3.9652, 18.3616, -4.9113, 161.2841, 230.2841, -9.3616, 261.9847, 13.7916, 66.2547, -69.3854
-3.7885, 18.2247, -5.0972, 161.3125, 230.3125, -9.2247, 262.1707, 13.7718, 66.1521, -69.4054
-3.6154, 18.0702, -5.2792, 161.3649, 230.3649, -9.0702, 262.3526, 13.7427, 66.0248, -69.4114
-3.4326, 17.9354, -5.4672, 161.3137, 230.3137, -8.9354, 262.5407, 13.7178, 66.0010, -69.4280
-3.2647, 17.7730, -5.6494, 161.3162, 230.3162, -8.7730, 262.7228, 13.6697, 65.9248, -69.4243
-3.0823, 17.6406, -5.8192, 161.3473, 230.3473, -8.6406, 262.8926, 13.6703, 65.8227, -69.4374
-2.8499, 17.4867, -5.9801, 161.3896, 230.3896, -8.4867, 263.0535, 13.7223, 65.6954, -69.4293
-2.6389, 17.2982, -6.2187, 161.2940, 230.2940, -8.2982, 263.2922, 13.6506, 65.7023, -69.4349
-2.4513, 17.1181, -6.4419, 161.2791, 230.2791, -8.1181, 263.5153, 13.5793, 65.6380, -69.4431
-2.2676, 16.9666, -6.6155, 161.3472, 230.3472, -7.9666, 263.6889, 13.5689, 65.4994, -69.4472
-2.0676, 16.8333, -6.7903, 161.2140, 230.2140, -7.8333, 263.8637, 13.5641, 65.5595, -69.4499
-1.8756, 16.6466, -7.0119, 161.2372, 230.2372, -7.6466, 264.0854, 13.4983, 65.4588, -69.4552
-1.6884, 16.4739, -7.1809, 161.3527, 230.3527, -7.4739, 264.2544, 13.4854, 65.2723, -69.4440
-1.5021, 16.3468, -7.3380, 161.3616, 230.3616, -7.3468, 264.4114, 13.4978, 65.1987, -69.4510
-1.3109, 16.1615, -7.5694, 161.2487, 230.2487, -7.1615, 264.6429, 13.4090, 65.2361, -69.4530
-1.1316, 15.9941, -7.7399, 161.3764, 230.3764, -6.9941, 264.8134, 13.3884, 65.0425, -69.4476
-0.9470, 15.8786, -7.8838, 161.4148, 230.4148, -6.8786, 264.9572, 13.4180, 64.9438, -69.4572
-0.7686, 15.7172, -8.0864, 161.2733, 230.2733, -6.7172, 265.1599, 13.3493, 65.0193, -69.4562
-0.5985, 15.5373, -8.2657, 161.3781, 230.3781, -6.5373, 265.3391, 13.2994, 64.8512, -69.4454
-0.4153, 15.4182, -8.4284, 161.4080, 230.4080, -6.4182, 265.5018, 13.3090, 64.7627, -69.4638
-0.2298, 15.2718, -8.6258, 161.2931, 230.2931, -6.2718, 265.6993, 13.2647, 64.8146, -69.4729
-0.0154, 15.1272, -8.8040, 161.3675, 230.3675, -6.1272, 265.8774, 13.2844, 64.6731, -69.4856
0.1595, 14.9111, -9.0372, 161.3924, 230.3924, -5.9111, 266.1106, 13.1669, 64.5825, -69.4763
0.3551, 14.7790, -9.2061, 161.4258, 230.4258, -5.7790, 266.2795, 13.1759, 64.4892, -69.4892
0.5717, 14.6437, -9.3896, 161.3890, 230.3890, -5.6437, 266.4630, 13.1903, 64.4614, -69.5037
0.8064, 14.4101, -9.6374, 161.3840, 230.3840, -5.4101, 266.7108, 13.1144, 64.3887, -69.4883
1.0112, 14.2412, -9.8440, 161.4761, 230.4761, -5.2412, 266.9175, 13.0837, 64.2341, -69.5027
1.1843, 14.0783, -10.0445, 161.4550, 230.4551, -5.0783, 267.1180, 13.0188, 64.2008, -69.5087
