# Joint_A_Angle(deg), Cam_X(mm), Cam_Y(mm), Cam_Z(mm), Torso_X(mm), Torso_Y(mm), Torso_Z(mm), EE_X(mm), EE_Y(mm), EE_Z(mm)
8.3024, -17.9584, 19.8383, 170.4596, 239.4596, 26.9584, 237.2351, 4.8091, -62.1931, -72.1538
8.4595, -18.0584, 19.9508, 170.5348, 239.5348, 27.0584, 237.1226, 4.7986, -62.2179, -72.1746
8.6186, -18.1674, 20.1471, 170.6660, 239.6660, 27.1674, 236.9264, 4.8741, -62.2022, -72.1666
8.7761, -18.2715, 20.2736, 170.7678, 239.7678, 27.2715, 236.7999, 4.8830, -62.2050, -72.1866
8.9402, -18.4056, 20.4718, 170.8232, 239.8232, 27.4056, 236.6017, 4.9502, -62.2718, -72.1905
9.1343, -18.4960, 20.6090, 170.9054, 239.9054, 27.4960, 236.4645, 4.9180, -62.3086, -72.1877
9.2892, -18.6351, 20.8115, 170.9133, 239.9133, 27.6351, 236.2620, 4.9904, -62.4209, -72.1896
9.4478, -18.7465, 20.9823, 171.0284, 240.0284, 27.7465, 236.0912, 5.0423, -62.4216, -72.1949
9.6058, -18.8758, 21.1775, 171.1859, 240.1859, 27.8758, 235.8959, 5.1340, -62.3889, -72.2077
9.7616, -18.9601, 21.2959, 171.1917, 240.1917, 27.9601, 235.7775, 5.1069, -62.4825, -72.2047
9.9237, -19.0838, 21.5132, 171.4036, 240.4036, 28.0838, 235.5602, 5.2232, -62.4027, -72.2071
10.0826, -19.1771, 21.5904, 171.3279, 240.3279, 28.1771, 235.4830, 5.1427, -62.5729, -72.2236
10.2549, -19.3054, 21.8538, 171.5698, 240.5698, 28.3054, 235.2197, 5.2970, -62.4783, -72.2090
10.4221, -19.4013, 21.9705, 171.6456, 240.6456, 28.4013, 235.1030, 5.2778, -62.5133, -72.2231
10.5743, -19.5484, 22.1715, 171.7337, 240.7337, 28.5484, 234.9019, 5.3734, -62.5551, -72.2415
10.7383, -19.6214, 22.2909, 171.8518, 240.8518, 28.6214, 234.7825, 5.3597, -62.5446, -72.2397
10.8980, -19.7600, 22.4858, 171.8844, 240.8844, 28.7600, 234.5876, 5.4243, -62.6418, -72.2471
11.0542, -19.8535, 22.6256, 172.0214, 241.0214, 28.8535, 234.4478, 5.4508, -62.6190, -72.2553
11.2104, -19.9571, 22.8075, 172.1000, 241.1000, 28.9571, 234.2659, 5.5031, -62.6620, -72.2447
11.3847, -20.0456, 22.9254, 172.0240, 241.0240, 29.0456, 234.1481, 5.4348, -62.8477, -72.2346
11.5642, -20.1598, 23.1267, 172.3765, 241.3765, 29.1598, 233.9468, 5.5538, -62.6448, -72.2509
11.7516, -20.2910, 23.2830, 172.3411, 241.3411, 29.2910, 233.7904, 5.5335, -62.8144, -72.2610
11.9182, -20.4142, 23.4899, 172.5079, 241.5080, 29.4142, 233.5835, 5.6280, -62.7892, -72.2632
12.0887, -20.5218, 23.6205, 172.4745, 241.4745, 29.5218, 233.4530, 5.5929, -62.9411, -72.2679
12.2632, -20.6613, 23.8540, 172.6679, 241.6679, 29.6613, 233.2195, 5.7161, -62.9042, -72.2727
12.4455, -20.7499, 23.9987, 172.8018, 241.8018, 29.7499, 233.0748, 5.7163, -62.9008, -72.2714
12.6079, -20.8959, 24.1754, 172.8769, 241.8769, 29.8959, 232.8981, 5.7759, -62.9649, -72.2986
12.7705, -21.0207, 24.3654, 173.0095, 242.0095, 30.0207, 232.7081, 5.8525, -62.9727, -72.3073
12.9199, -21.0922, 24.5012, 173.0573, 242.0573, 30.0922, 232.5722, 5.8497, -63.0336, -72.2897
13.0735, -21.2274, 24.6714, 173.1352, 242.1352, 30.2274, 232.4020, 5.9089, -63.0898, -72.3121
13.2517, -21.2914, 24.8333, 173.2903, 242.2903, 30.2914, 232.2401, 5.9236, -63.0653, -72.2840
13.4125, -21.4231, 25.0049, 173.3434, 242.3434, 30.4231, 232.0685, 5.9671, -63.1492, -72.2991
13.5850, -21.5295, 25.1814, 173.4596, 242.4596, 30.5295, 231.8920, 6.0086, -63.1738, -72.2960
13.7377, -21.6609, 25.3176, 173.5057, 242.5057, 30.6609, 231.7559, 6.0288, -63.2551, -72.3290
13.9219, -21.7449, 25.4888, 173.7305, 242.7305, 30.7449, 231.5846, 6.0754, -63.1768, -72.3205
14.1062, -21.8493, 25.6102, 173.7167, 242.7167, 30.8493, 231.4632, 6.0179, -63.3200, -72.3276
14.2638, -21.9924, 25.8501, 173.8557, 242.8557, 30.9924, 231.2233, 6.1527, -63.3419, -72.3280
14.4334, -22.1000, 25.9749, 174.0049, 243.0049, 31.1000, 231.0985, 6.1650, -63.3275, -72.3563
14.5914, -22.2127, 26.2073, 174.1783, 243.1783, 31.2127, 230.8662, 6.2900, -63.3100, -72.3384
14.7579, -22.3033, 26.3352, 174.1580, 243.1580, 31.3033, 230.7382, 6.2482, -63.4519, -72.3314
14.9183, -22.4085, 26.5032, 174.4077, 243.4078, 31.4085, 230.5703, 6.3378, -63.3497, -72.3484
15.0869, -22.5459, 26.7143, 174.4312, 243.4312, 31.5459, 230.3592, 6.3975, -63.4826, -72.3441
15.2396, -22.5933, 26.8092, 174.5549, 243.5549, 31.5933, 230.2643, 6.3691, -63.4662, -72.3349
15.4044, -22.7422, 27.0082, 174.6451, 243.6451, 31.7422, 230.0653, 6.4490, -63.5365, -72.3546
15.5740, -22.8385, 27.1655, 174.7390, 243.7390, 31.8385, 229.9079, 6.4665, -63.5832, -72.3504
15.7313, -22.9629, 27.3492, 174.9040, 243.9040, 31.9629, 229.7243, 6.5552, -63.5722, -72.3664
15.8838, -23.0391, 27.4597, 174.9672, 243.9672, 32.0391, 229.6138, 6.5334, -63.6254, -72.3669
16.0482, -23.1052, 27.5759, 174.9909, 243.9909, 32.1052, 229.4976, 6.4855, -63.7199, -72.3501
16.2319, -23.2400, 27.7368, 175.1437, 244.1437, 32.2400, 229.3366, 6.5270, -63.7314, -72.3823
16.4195, -23.3574, 27.9347, 175.3309, 244.3310, 32.3574, 229.1388, 6.5989, -63.7175, -72.3847
16.5856, -23.4751, 28.0844, 175.3873, 244.3873, 32.4751, 228.9890, 6.6105, -63.8058, -72.3985
16.7449, -23.5740, 28.3006, 175.5482, 244.5482, 32.5740, 228.7729, 6.7119, -63.8054, -72.3757
16.9258, -23.6868, 28.4509, 175.6002, 244.6002, 32.6868, 228.6226, 6.7035, -63.9045, -72.3830
17.0954, -23.8240, 28.6544, 175.7575, 244.7575, 32.8240, 228.4190, 6.7989, -63.9212, -72.3977
17.2595, -23.9134, 28.7741, 175.7431, 244.7431, 32.9134, 228.2994, 6.7495, -64.0619, -72.3944
17.4386, -23.9988, 28.9453, 175.8569, 244.8569, 32.9988, 228.1281, 6.7693, -64.1024, -72.3751
17.6421, -24.1092, 29.1073, 176.1388, 245.1388, 33.1092, 227.9662, 6.8257, -64.0036, -72.3993
17.8717, -24.2397, 29.3311, 176.3457, 245.3457, 33.2397, 227.7424, 6.8865, -64.0086, -72.3977
18.0771, -24.3790, 29.5288, 176.3985, 245.3985, 33.3790, 227.5446, 6.9005, -64.1421, -72.4010
18.2347, -24.5466, 29.7888, 176.5941, 245.5941, 33.5466, 227.2846, 7.0835, -64.1481, -72.4189
18.4028, -24.6142, 29.8536, 176.6316, 245.6316, 33.6142, 227.2198, 6.9925, -64.2254, -72.4305
18.5592, -24.7327, 30.0730, 176.7696, 245.7696, 33.7327, 227.0004, 7.1007, -64.2611, -72.4203
18.7132, -24.8265, 30.1840, 176.8035, 245.8035, 33.8265, 226.8894, 7.0729, -64.3561, -72.4317
